ASV,seed23_run2,seed105_run3,seed12_run4
ASV10227,10,3,6
ASV1023,7,3,6
ASV1024,10,3,6
ASV10244,10,3,6
ASV10245,10,3,6
ASV10246,10,3,6
ASV1025,4,8,3
ASV10251,10,3,6
ASV1026,14,5,6
ASV10261,10,3,6
ASV10263,10,3,6
ASV10269,10,3,6
ASV1027,10,3,6
ASV10272,10,3,6
ASV10279,10,3,6
ASV1028,10,3,6
ASV10293,10,3,6
ASV10294,10,3,6
ASV1030,2,3,6
ASV10302,10,3,6
ASV1031,10,3,6
ASV10312,10,3,6
ASV10313,10,3,6
ASV10314,10,3,6
ASV1032,12,5,4
ASV10323,10,3,6
ASV10327,10,3,6
ASV1033,7,3,6
ASV10332,10,3,6
ASV10333,10,3,6
ASV10335,10,3,6
ASV10339,10,3,6
ASV1034,7,3,6
ASV10340,10,3,6
ASV10343,10,3,6
ASV10347,10,3,6
ASV1035,10,3,6
ASV10352,10,3,6
ASV10353,10,3,6
ASV10354,10,3,6
ASV1037,10,3,6
ASV10378,10,3,6
ASV1038,15,3,6
ASV10380,10,3,6
ASV10383,10,3,6
ASV10389,10,3,6
ASV1040,10,3,6
ASV10401,10,3,6
ASV10405,10,3,6
ASV1041,10,3,6
ASV10411,10,3,6
ASV10414,10,3,6
ASV1042,10,3,6
ASV10423,10,3,6
ASV10428,10,3,6
ASV10438,10,3,6
ASV1044,10,3,6
ASV10440,10,3,6
ASV10442,10,3,6
ASV10443,10,3,6
ASV10447,10,3,6
ASV1045,10,3,6
ASV10452,10,3,6
ASV10453,10,3,6
ASV10458,10,3,6
ASV10461,10,3,6
ASV10464,10,3,6
ASV10465,10,3,6
ASV10470,10,3,6
ASV10472,10,3,6
ASV10487,10,3,6
ASV10489,10,3,6
ASV10490,10,3,6
ASV10492,10,3,6
ASV10503,10,3,6
ASV1051,10,3,6
ASV10512,10,3,6
ASV10514,10,3,6
ASV1052,10,3,6
ASV10525,10,3,6
ASV10528,10,3,6
ASV1053,10,3,6
ASV1054,10,3,6
ASV10545,10,3,6
ASV1055,10,3,6
ASV10554,10,3,6
ASV10555,10,3,6
ASV1056,2,5,4
ASV10567,10,3,6
ASV10569,10,3,6
ASV10577,10,3,6
ASV1058,13,6,7
ASV10584,10,3,6
ASV1059,10,3,6
ASV10590,10,3,6
ASV10595,10,3,6
ASV1060,7,3,6
ASV10607,10,3,6
ASV10608,10,3,6
ASV10609,10,3,6
ASV1061,10,3,6
ASV10617,10,3,6
ASV1062,7,3,6
ASV10622,10,3,6
ASV10626,10,3,6
ASV1063,10,3,6
ASV10631,10,3,6
ASV10634,10,3,6
ASV10635,10,3,6
ASV1064,10,3,6
ASV10643,10,3,6
ASV10645,10,3,6
ASV10647,10,3,6
ASV1065,10,3,6
ASV10658,10,3,6
ASV1066,10,3,6
ASV10660,10,3,6
ASV10664,10,3,6
ASV1067,12,5,4
ASV10670,10,3,6
ASV10678,10,3,6
ASV10682,10,3,6
ASV10683,10,3,6
ASV1069,2,5,4
ASV10696,10,3,6
ASV10697,10,3,6
ASV1070,7,3,6
ASV10708,10,3,6
ASV1071,15,3,6
ASV10711,10,3,6
ASV1072,10,3,6
ASV10729,10,3,6
ASV1073,10,3,6
ASV10731,10,3,6
ASV10734,10,3,6
ASV10747,10,3,6
ASV10748,10,3,6
ASV1075,7,3,6
ASV10751,10,3,6
ASV10752,10,3,6
ASV1076,7,3,6
ASV10762,10,3,6
ASV10768,10,3,6
ASV1077,15,3,6
ASV10777,10,3,6
ASV10779,10,3,6
ASV10780,10,3,6
ASV10782,10,3,6
ASV10783,10,3,6
ASV10784,10,3,6
ASV10785,10,3,6
ASV10787,10,3,6
ASV1079,10,3,6
ASV10790,10,3,6
ASV1080,12,6,7
ASV10800,10,3,6
ASV10801,10,3,6
ASV10802,10,3,6
ASV1081,10,3,6
ASV10810,10,3,6
ASV10815,10,3,6
ASV10819,10,3,6
ASV1082,2,5,4
ASV10821,10,3,6
ASV10822,10,3,6
ASV10823,10,3,6
ASV10827,10,3,6
ASV1083,10,3,6
ASV10832,10,3,6
ASV10837,10,3,6
ASV10838,10,3,6
ASV1085,15,3,6
ASV1086,10,3,6
ASV10861,10,3,6
ASV10867,10,3,6
ASV1087,14,3,6
ASV10879,10,3,6
ASV1088,10,3,6
ASV10881,10,3,6
ASV1089,10,3,6
ASV10892,10,3,6
ASV10899,10,3,6
ASV1090,2,3,6
ASV1091,7,3,6
ASV10910,10,3,6
ASV10911,10,3,6
ASV10913,10,3,6
ASV10915,10,3,6
ASV10918,10,3,6
ASV1092,10,3,6
ASV10929,10,3,6
ASV1093,16,3,2
ASV10930,10,3,6
ASV10931,10,3,6
ASV1094,15,3,6
ASV1095,13,6,7
ASV10957,10,3,6
ASV10969,10,3,6
ASV1097,13,6,7
ASV10970,10,3,6
ASV10973,10,3,6
ASV10974,10,3,6
ASV10976,10,3,6
ASV1098,10,3,6
ASV10982,10,3,6
ASV10986,10,3,6
ASV10987,10,3,6
ASV10990,10,3,6
ASV10991,10,3,6
ASV10992,10,3,6
ASV11000,10,3,6
ASV11003,10,3,6
ASV1101,2,5,4
ASV11015,10,3,6
ASV11022,10,3,6
ASV11023,10,3,6
ASV11028,10,3,6
ASV1103,7,3,6
ASV11030,10,3,6
ASV11031,10,3,6
ASV11032,10,3,6
ASV11049,10,3,6
ASV1105,4,8,3
ASV1106,10,3,6
ASV11060,10,3,6
ASV11061,10,3,6
ASV11062,10,3,6
ASV11063,10,3,6
ASV11066,10,3,6
ASV1107,10,3,6
ASV11071,10,3,6
ASV11073,10,3,6
ASV11074,10,3,6
ASV1108,10,3,6
ASV11090,10,3,6
ASV11093,10,3,6
ASV1110,10,3,6
ASV11104,10,3,6
ASV11113,10,3,6
ASV1112,7,5,4
ASV11121,10,3,6
ASV11129,10,3,6
ASV1113,7,3,6
ASV11133,10,3,6
ASV11136,10,3,6
ASV11138,10,3,6
ASV11139,10,3,6
ASV11144,10,3,6
ASV1115,10,3,6
ASV1116,10,3,6
ASV11165,10,3,6
ASV11167,10,3,6
ASV11168,10,3,6
ASV11169,10,3,6
ASV1117,12,5,4
ASV11179,10,3,6
ASV1118,15,3,6
ASV11181,10,3,6
ASV11196,10,3,6
ASV11199,10,3,6
ASV1120,7,3,6
ASV11200,10,3,6
ASV11201,10,3,6
ASV11203,10,3,6
ASV11204,10,3,6
ASV11207,10,3,6
ASV1121,2,5,4
ASV11210,10,3,6
ASV11213,10,3,6
ASV11218,10,3,6
ASV1122,12,5,4
ASV11221,10,3,6
ASV11222,10,3,6
ASV11229,10,3,6
ASV1123,10,3,6
ASV11239,10,3,6
ASV11243,10,3,6
ASV1125,10,3,6
ASV11259,10,3,6
ASV1126,2,5,4
ASV11269,10,3,6
ASV1127,10,3,6
ASV11273,10,3,6
ASV11287,10,3,6
ASV1129,10,3,6
ASV11300,10,3,6
ASV11306,10,3,6
ASV11308,10,3,6
ASV1131,10,3,6
ASV11310,10,3,6
ASV11319,10,3,6
ASV1132,10,3,6
ASV11323,10,3,6
ASV11327,10,3,6
ASV11329,10,3,6
ASV11330,10,3,6
ASV11340,10,3,6
ASV11341,10,3,6
ASV11343,10,3,6
ASV11345,10,3,6
ASV11350,10,3,6
ASV11358,10,3,6
ASV11359,10,3,6
ASV1136,2,5,4
ASV11360,10,3,6
ASV1137,10,3,6
