ASV,seed23_run2,seed105_run3,seed12_run4
ASV0977,5,4,6
ASV0978,11,3,7
ASV0979,3,6,1
ASV0980,3,6,1
ASV0981,7,1,8
ASV0982,12,12,11
ASV0983,3,6,1
ASV0985,8,11,9
ASV0986,12,12,11
ASV0987,1,9,12
ASV0990,3,6,1
ASV0993,3,6,1
ASV0994,3,6,1
ASV0995,7,1,8
ASV0997,3,6,1
ASV0998,3,6,1
ASV0999,12,12,11
ASV1000,3,6,1
ASV10000,3,6,1
ASV10001,3,6,1
ASV10006,3,6,1
ASV1001,9,8,10
ASV10011,3,6,1
ASV10018,3,6,1
ASV10021,3,6,1
ASV1003,3,6,1
ASV1004,3,6,1
ASV10040,3,6,1
ASV10041,3,6,1
ASV10059,3,6,1
ASV1007,12,12,11
ASV10070,3,6,1
ASV10071,3,6,1
ASV1008,3,6,1
ASV10080,3,6,1
ASV10083,3,6,1
ASV10089,3,6,1
ASV10092,3,6,1
ASV10101,3,6,1
ASV10102,3,6,1
ASV10103,3,6,1
ASV1011,3,6,1
ASV10112,3,6,1
ASV10113,3,6,1
ASV10116,3,6,1
ASV10119,3,6,1
ASV1012,1,9,12
ASV10120,3,6,1
ASV10121,3,6,1
ASV10122,3,6,1
ASV1013,1,9,12
ASV10134,3,6,1
ASV10136,3,6,1
ASV1014,3,6,1
ASV10145,3,6,1
ASV10152,3,6,1
ASV1016,3,6,1
ASV1017,3,6,1
ASV10172,3,6,1
ASV10173,3,6,1
ASV10174,3,6,1
ASV10175,3,6,1
ASV1018,3,6,1
ASV10185,3,6,1
ASV10187,3,6,1
ASV1019,3,6,1
ASV10199,3,6,1
ASV1020,11,3,7
ASV10201,3,6,1
ASV10207,3,6,1
ASV10208,3,6,1
ASV1021,3,6,13
ASV10212,3,6,1
ASV10213,3,6,1
ASV10218,3,6,1
ASV1022,3,6,1
ASV10220,3,6,1
ASV10225,3,6,1
ASV10227,3,6,1
ASV1023,3,6,1
ASV1024,3,6,1
ASV10244,3,6,1
ASV10245,3,6,1
ASV10246,3,6,1
ASV1025,3,6,1
ASV10251,3,6,1
ASV1026,5,4,6
ASV10261,3,6,1
ASV10263,3,6,1
ASV10269,3,6,1
ASV1027,3,6,1
ASV10272,3,6,1
ASV10279,3,6,1
ASV1028,3,6,1
ASV10293,3,6,1
ASV10294,3,6,1
ASV1030,1,9,12
ASV10302,3,6,1
ASV1031,3,6,1
ASV10312,3,6,1
ASV10313,3,6,1
ASV10314,3,6,1
ASV1032,3,6,1
ASV10323,3,6,1
ASV10327,3,6,1
ASV1033,3,6,1
ASV10332,3,6,1
ASV10333,3,6,1
ASV10335,3,6,1
ASV10339,3,6,1
ASV1034,3,6,1
ASV10340,3,6,1
ASV10343,3,6,1
ASV10347,3,6,1
ASV1035,9,8,10
ASV10352,3,6,1
ASV10353,3,6,1
ASV10354,3,6,1
ASV1037,3,6,1
ASV10378,3,6,1
ASV1038,3,6,1
ASV10380,3,6,1
ASV10383,3,6,1
ASV10389,3,6,1
ASV1040,3,6,1
ASV10401,3,6,1
ASV10405,3,6,1
ASV1041,9,8,10
ASV10411,3,6,1
ASV10414,3,6,1
